I, [2016-12-13T01:43:34.463100 #16239]  INFO -- Kitchen: -----> Starting Kitchen (v1.14.2)
E, [2016-12-13T01:43:34.463805 #16239] ERROR -- Kitchen: ------Exception-------
E, [2016-12-13T01:43:34.463852 #16239] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2016-12-13T01:43:34.463878 #16239] ERROR -- Kitchen: Message: Kitchen YAML file /home/ubunt/try/recipes/.kitchen.yml does not exist.
E, [2016-12-13T01:43:34.463903 #16239] ERROR -- Kitchen: ----------------------
E, [2016-12-13T01:43:34.463927 #16239] ERROR -- Kitchen: ------Backtrace-------
E, [2016-12-13T01:43:34.463950 #16239] ERROR -- Kitchen: /var/lib/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/loader/yaml.rb:71:in `read'
E, [2016-12-13T01:43:34.463983 #16239] ERROR -- Kitchen: /var/lib/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/config.rb:152:in `data'
E, [2016-12-13T01:43:34.464008 #16239] ERROR -- Kitchen: /var/lib/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/config.rb:131:in `suites'
E, [2016-12-13T01:43:34.464033 #16239] ERROR -- Kitchen: /var/lib/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/config.rb:182:in `filter_instances'
E, [2016-12-13T01:43:34.464058 #16239] ERROR -- Kitchen: /var/lib/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/config.rb:141:in `build_instances'
E, [2016-12-13T01:43:34.464082 #16239] ERROR -- Kitchen: /var/lib/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/config.rb:117:in `instances'
E, [2016-12-13T01:43:34.464106 #16239] ERROR -- Kitchen: /var/lib/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2016-12-13T01:43:34.464131 #16239] ERROR -- Kitchen: /var/lib/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2016-12-13T01:43:34.464155 #16239] ERROR -- Kitchen: /var/lib/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/command/action.rb:35:in `block in call'
E, [2016-12-13T01:43:34.464180 #16239] ERROR -- Kitchen: /usr/lib/ruby/2.3.0/benchmark.rb:293:in `measure'
E, [2016-12-13T01:43:34.464204 #16239] ERROR -- Kitchen: /var/lib/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/command/action.rb:34:in `call'
E, [2016-12-13T01:43:34.464234 #16239] ERROR -- Kitchen: /var/lib/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/cli.rb:53:in `perform'
E, [2016-12-13T01:43:34.464267 #16239] ERROR -- Kitchen: /var/lib/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/cli.rb:187:in `block (2 levels) in <class:CLI>'
E, [2016-12-13T01:43:34.464291 #16239] ERROR -- Kitchen: /var/lib/gems/2.3.0/gems/thor-0.19.4/lib/thor/command.rb:27:in `run'
E, [2016-12-13T01:43:34.464316 #16239] ERROR -- Kitchen: /var/lib/gems/2.3.0/gems/thor-0.19.4/lib/thor/invocation.rb:126:in `invoke_command'
E, [2016-12-13T01:43:34.464340 #16239] ERROR -- Kitchen: /var/lib/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/cli.rb:334:in `invoke_task'
E, [2016-12-13T01:43:34.464364 #16239] ERROR -- Kitchen: /var/lib/gems/2.3.0/gems/thor-0.19.4/lib/thor.rb:369:in `dispatch'
E, [2016-12-13T01:43:34.464394 #16239] ERROR -- Kitchen: /var/lib/gems/2.3.0/gems/thor-0.19.4/lib/thor/base.rb:444:in `start'
E, [2016-12-13T01:43:34.464418 #16239] ERROR -- Kitchen: /var/lib/gems/2.3.0/gems/test-kitchen-1.14.2/bin/kitchen:13:in `block in <top (required)>'
E, [2016-12-13T01:43:34.464443 #16239] ERROR -- Kitchen: /var/lib/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2016-12-13T01:43:34.464467 #16239] ERROR -- Kitchen: /var/lib/gems/2.3.0/gems/test-kitchen-1.14.2/bin/kitchen:13:in `<top (required)>'
E, [2016-12-13T01:43:34.464491 #16239] ERROR -- Kitchen: /usr/local/bin/kitchen:23:in `load'
E, [2016-12-13T01:43:34.464515 #16239] ERROR -- Kitchen: /usr/local/bin/kitchen:23:in `<main>'
E, [2016-12-13T01:43:34.464539 #16239] ERROR -- Kitchen: ----End Backtrace-----
